No,Authors,Year,Title,Journal,DOI,Country studied,Place studied,Technology modelled,Type of model purpose,PBA status,Spatial status ,Empirical status,Empirical data type,Decision-making level modelled
11,Mittal A.; Krejci C.C.; Dorneich M.C.,2019,An agent-based approach to designing residential renewable energy systems,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2019.06.034,US,"City of Des Moines, Iowa",Solar PV,"Prediction, Policy evaluation, Decision support",Yes,No spatial data used,Empirically grounded agent attributes,Quantitative secondary,Household
12,Mittal A.; Krejci C.C.; Dorneich M.C.; Fickes D.,2019,An agent-based approach to modeling zero energy communities,Solar Energy,10.1016/j.solener.2019.08.040,US,"City of Des Moines, Iowa",Solar PV,"Prediction, Policy evaluation",Yes,No spatial data used,Empirically grounded agent attributes,Quantitative secondary,Household
13,Mohandes N.; Sanfilippo A.; Al Fakhri M.,2019,Modeling residential adoption of solar energy in the Arabian Gulf Region,Renewable Energy,10.1016/j.renene.2018.07.048,Qatar,Al Rayyan municipality,Solar PV,"Policy evaluation, Diffusion, Decision support",Yes,No spatial data used,Empirically grounded agent attributes,Quantitative secondary,Household
14,Pasimeni F.,2019,Community-based adoption and diffusion of micro-grids: Analysis of the Italian case with agent-based model,JASSS,10.18564/jasss.3950,Italy,20 regions in Italy,Micro-Grids,Diffusion,Yes,No spatial data used,Empirically grounded agent attributes,Quantitative secondary,Group
15,Schiera D.S.; Minuto F.D.; Bottaccioli L.; Borchiellini R.; Lanzini A.,2019,Analysis of Rooftop Photovoltaics Diffusion in Energy Community Buildings by a Novel GIS- and Agent-Based Modeling Co-Simulation Platform,IEEE Access,10.1109/ACCESS.2019.2927446,Italy,San Salvario district in Torino city,Solar PV,"Diffusion, Policy evaluation, Decision support",Yes,Spatially explicit and geographically accurate,Empirically grounded agent attributes,Quantitative secondary,Household
16,Schwarz M.; Ossenbrink J.; Knoeri C.; Hoffmann V.H.,2019,Addressing integration challenges of high shares of residential solar photovoltaics with battery storage and smart policy designs,Environmental Research Letters,10.1088/1748-9326/aaf934,US,California,"Solar PV, Battery storage","Policy evaluation, Diffusion",Yes,No spatial data used,"Empirically grounded agent attributes, Empirically calibrated model parameters",Quantitative secondary,"System operator, Utilities, Household"
17,Boumaiza A.; Abbar S.; Mohandes N.; Sanfilippo A.,2018,Modeling the impact of innovation diffusion on solar PV adoption in city neighborhoods,International Journal of Renewable Energy Research,,Qatar,Neighbourhoods in Doha city,Solar PV,"Diffusion, Decision support",Yes,Spatial feature data used in simulation,Empirically grounded model environment,"Quantitative first-hand, Quantitative secondary",Household
18,Alfaro J.F.; Miller S.; Johnson J.X.; Riolo R.R.,2017,Improving rural electricity system planning: An agent-based model for stakeholder engagement and decision making,Energy Policy,10.1016/j.enpol.2016.10.020,Liberia,Districts in Liberian rural areas,"Solar PV, Biomass, Hydro","Policy evaluation, Stakeholder engagement, Decision support, Scenario generation",Yes,Spatially explicit and geographically accurate,"Empirically grounded agent attributes, Empirically grounded model environment","Qualitative first-hand, Quantitative secondary",National strategy (by observer)
19,Busch J.; Roelich K.; Bale C.S.E.; Knoeri C.,2017,Scaling up local energy infrastructure; An agent-based model of the emergence of district heating networks,Energy Policy,10.1016/j.enpol.2016.10.011,UK,An anonymised city,Heat network,"Exploratory, Support policy design",Yes,Spatially explicit and geographically accurate,"Empirically grounded agent attributes, Empirically grounded decision-making rules","Qualitative first-hand, Quantitative secondary",Instigator
20,Snape J.R.; Boait P.J.; Rylatt R.M.,2015,Will domestic consumers take up the renewable heat incentive? An analysis of the barriers to heat pump adoption using agent-based modelling,Energy Policy,10.1016/j.enpol.2015.05.008,UK,-,Heat pump,"Policy evaluation, Diffusion",No,No spatial data used,Empirically grounded model environment,Quantitative secondary,Household
21,Kiravu C.; Oladiran M.T.; Yanev K.,2014,Modeling of technology adoption in Botswana,International Journal of Energy Sector Management,10.1108/IJESM-02-2013-0004,Botswana,-,"Solar PV, Solar water heating","Support policy design, Diffusion",No,No spatial data used,"Empirically grounded agent attributes, Empirically grounded decision-making rules",Quantitative first-hand,Household
22,Maya Sopha B.; Kl?ckner C.A.; Hertwich E.G.,2011,Exploring policy options for a transition to sustainable heating system diffusion using an agent-based simulation,Energy Policy,10.1016/j.enpol.2011.02.041,Norway,All districts in the country of Norway,Wood-pellet heating,"Diffusion, Exploratory, Policy evaluation, Support policy design",Yes,Spatially explicit and geographically accurate,"Empirically grounded agent attributes, Empirically grounded decision-making rules",Quantitative first-hand,Household
